,name,position,pick,height_cm,weight_lb,c_year,age,points,reb,ast,TS,usg,o_bpm,d_bpm
0,Kyrie Irving,PG,1,191.8,191,Freshman,19.2,22.8,4.4,5.6,0.697,26.4,10.8,3.5
1,Derrick Williams,PF,2,205.1,248,Sophomore,20.1,23.4,9.9,1.4,0.69,28.9,9.2,2.6
2,Enes Kanter,C,3,211.5,259,Freshman,19.1,,,,,,,
3,Tristan Thompson,PF,4,205.1,227,Freshman,20.3,15.4,9.2,1.5,0.536,22.4,3.9,7.2
4,Jonas Valanciunas,C,5,213.4,231,International,19.1,17.9,13.6,0.5,0.743,,,
5,Jan Vesely,PF,6,210.8,239,International,21.2,13.5,4.8,1.4,0.56,,,
6,Bismack Biyombo,C,7,205.7,243,International,18.8,13.6,10.7,0.6,0.56,,,
7,Brandon Knight,PG,8,191.1,177,Freshman,19.5,17.4,4.0,4.2,0.553,27.0,5.4,0.5
8,Kemba Walker,PG,9,185.4,184,Junior,21.1,22.5,5.2,4.3,0.543,32.4,10.2,2.7
9,Jimmer Fredette,PG,10,189.2,196,Senior,22.3,29.1,3.5,4.4,0.594,37.8,10.2,-0.7
10,Klay Thompson,SG,11,201.3,206,Junior,21.4,22.4,5.4,3.9,0.574,32.8,6.8,3.2
11,Alec Burks,SG,12,198.1,193,Sophomore,19.9,23.5,7.5,3.4,0.574,32.3,7.3,-0.1
12,Markieff Morris,PF,13,206.4,241,Junior,21.8,20.1,12.3,2.1,0.642,25.5,6.7,5.6
13,Marcus Morris,PF,14,205.1,230,Junior,21.8,21.9,9.7,2.1,0.625,26.9,7.8,3.4
14,Kawhi Leonard,SF,15,200.7,227,Sophomore,19.9,17.1,11.7,2.8,0.512,27.6,3.9,5.2
15,Nikola Vučević,C,16,212.7,260,Junior,20.7,17.7,10.6,1.6,0.578,25.5,5.1,4.4
16,Iman Shumpert,SG,17,196.8,222,Junior,20.9,19.5,6.6,3.9,0.517,29.1,6.3,3.4
17,Chris Singleton,SF,18,205.7,230,Junior,21.6,16.2,8.4,1.5,0.531,24.5,2.6,6.9
18,Tobias Harris,SF,19,202.6,223,Freshman,18.9,18.9,9.0,1.6,0.54,27.2,3.3,2.3
19,Donatas Motiejunas,PF,20,213.4,222,International,20.7,16.8,6.6,1.3,0.565,,,
20,Nolan Smith,PG,21,191.8,188,Senior,22.9,21.8,4.7,5.4,0.564,30.7,7.3,2.3
21,Kenneth Faried,PF,22,201.9,225,Senior,21.6,17.9,15.0,1.1,0.619,24.5,4.0,5.9
22,Nikola Mirotić,PF,23,208.3,220,International,20.4,16.5,7.9,1.3,0.618,,,
23,Reggie Jackson,PG,24,190.5,208,Junior,21.2,19.2,4.5,4.7,0.618,27.2,9.0,0.2
24,MarShon Brooks,SG,25,196.2,195,Senior,22.4,24.3,6.9,2.5,0.584,30.6,8.4,1.2
25,Jordan Hamilton,SF,26,204.5,228,Sophomore,20.7,20.8,8.6,2.4,0.55,29.1,7.2,3.3
26,JaJuan Johnson,PF,27,208.3,220,Senior,22.4,20.9,8.7,1.0,0.564,29.1,3.7,4.9
27,Norris Cole,PG,28,187.3,174,Senior,22.7,21.9,5.9,5.4,0.558,32.1,8.0,2.7
28,Cory Joseph,PG,29,191.1,186,Freshman,19.8,11.6,4.0,3.4,0.526,17.3,3.9,3.7
29,Jimmy Butler,SF,30,202.6,222,Junior,21.8,16.3,6.3,2.4,0.587,21.3,7.0,2.4
30,Bojan Bogdanović,SF,31,200.7,195,International,22.2,18.3,3.5,1.8,0.514,,,
31,Justin Harper,PF,32,205.1,228,Senior,21.8,20.2,7.8,1.3,0.642,26.8,7.4,1.5
32,Kyle Singler,SF,33,204.5,228,Senior,23.1,17.5,7.1,1.7,0.536,24.7,4.6,2.2
33,Shelvin Mack,PG,34,189.2,209,Junior,21.2,18.0,5.0,3.9,0.537,28.6,5.3,1.0
34,Tyler Honeycutt,SF,35,203.8,187,Sophomore,20.9,13.1,7.4,2.9,0.519,22.3,2.0,5.3
35,Jordan Williams,PF,36,205.7,247,Sophomore,20.7,18.7,13.0,0.7,0.552,24.5,2.0,3.1
36,Trey Thompkins,PF,37,207.6,239,Junior,21.1,18.9,8.8,1.6,0.536,29.9,1.9,3.9
37,Chandler Parsons,SF,38,207.6,221,Senior,22.7,11.9,8.2,4.0,0.551,19.2,5.2,4.3
38,Jeremy Tyler,PF,39,209.6,262,International,19.9,,,,,,,
39,Jon Leuer,PF,40,212.1,223,Senior,22.1,19.6,7.8,1.8,0.568,31.1,6.3,1.9
40,Darius Morris,PG,41,196.2,190,Sophomore,20.5,15.5,4.1,6.9,0.545,27.3,5.4,2.0
41,Davis Bertans,SF,42,208.3,210,International,18.6,,,,,,,
42,Malcolm Lee,SG,43,196.8,198,Junior,21.1,14.3,3.3,2.2,0.553,20.8,3.7,0.4
43,Charles Jenkins,PG,44,191.1,216,Senior,22.3,21.8,3.2,4.6,0.635,28.7,10.0,-1.1
44,Josh Harrellson,PF,45,208.3,275,Senior,22.4,9.6,10.9,1.0,0.616,12.5,5.4,6.0
45,Andrew Goudelock,PG,46,189.9,198,Senior,22.5,24.2,4.0,4.3,0.575,34.5,6.5,-2.6
46,Travis Leslie,SG,47,193.7,205,Junior,21.2,16.1,8.0,3.3,0.561,24.4,6.2,3.3
47,Keith Benson,C/,48,210.8,217,Senior,22.9,20.0,11.2,1.2,0.584,24.9,1.6,3.6
48,Josh Selby,PG,49,190.5,195,Freshman,20.2,14.0,3.9,3.8,0.489,24.4,0.9,1.9
49,Lavoy Allen,PF,50,205.7,225,Senior,22.4,12.3,9.1,2.4,0.519,19.8,1.2,5.3
50,Jon Diebler,SG,51,199.4,197,Senior,22.9,12.8,2.7,2.4,0.723,14.4,9.8,2.7
51,Vernon Macklin,PF,52,205.7,245,Senior,24.7,17.0,7.9,1.2,0.578,25.1,2.8,2.1
52,DeAndre Liggins,SG,53,198.8,202,Junior,23.2,9.8,4.6,2.9,0.523,15.8,2.9,4.3
53,Milan Macvan,PF,54,205.7,260,International,21.6,15.6,7.3,2.9,0.575,,,
54,E'Twaun Moore,SG,55,193.0,191,Senior,22.3,19.1,5.5,3.4,0.545,28.0,7.1,3.4
55,Chu Maduabum,PF,56,205.7,210,G League,20.3,,,,,,,
56,Tanguy Ngombo,SF,57,198.1,204,International,26.9,,,,,,,
57,Ater Majok,PF,58,208.3,230,International,23.9,,,,,,,
58,Adam Hanga,SG,59,200.7,200,International,22.2,,,,,,,
59,Isaiah Thomas,PG,60,178.4,186,Junior,22.4,19.0,4.0,6.9,0.563,26.2,7.2,1.2
60,Anthony Davis,PF,1,209.6,222,Freshman,19.3,15.9,11.7,1.4,0.654,18.8,7.8,10.8
61,Michael Kidd-Gilchrist,SF,2,201.9,233,Freshman,18.7,13.8,8.6,2.2,0.57,20.6,5.0,4.1
62,Bradley Beal,SG,3,194.9,202,Freshman,18.9,15.5,7.1,2.4,0.575,23.0,5.3,3.3
63,Dion Waiters,SG,4,193.0,221,Sophomore,20.6,18.9,3.4,3.7,0.565,26.7,7.4,2.4
64,Thomas Robinson,PF,5,205.1,244,Junior,21.3,20.1,13.4,2.1,0.549,30.0,3.0,4.7
65,Damian Lillard,PG,6,189.9,189,Senior,21.9,25.5,5.2,4.2,0.635,33.0,10.3,-1.4
66,Harrison Barnes,SF,7,203.2,228,Sophomore,20.1,21.0,6.4,1.4,0.528,28.1,4.5,1.7
67,Terrence Ross,SG,8,200.7,197,Sophomore,21.4,19.0,7.4,1.6,0.558,25.3,4.5,2.2
68,Andre Drummond,C,9,212.7,279,Freshman,18.9,12.7,9.6,0.6,0.509,20.9,0.7,5.3
69,Austin Rivers,SG,10,195.6,203,Freshman,19.9,16.8,3.7,2.3,0.538,25.2,3.7,0.0
70,Meyers Leonard,C,11,216.5,250,Sophomore,20.3,15.3,9.3,1.5,0.618,22.0,2.8,5.4
71,Jeremy Lamb,SG,12,196.2,179,Sophomore,20.1,17.1,4.7,1.6,0.589,23.9,6.7,0.8
72,Kendall Marshall,PG,13,193.7,198,Sophomore,20.8,8.9,2.8,10.6,0.558,13.9,3.8,0.4
73,John Henson,PF,14,209.6,216,Junior,21.5,16.9,12.3,1.6,0.505,23.1,1.6,8.0
74,Maurice Harkless,SF,15,205.1,207,Freshman,19.1,15.5,8.6,1.5,0.504,24.9,1.4,2.0
75,Royce White,PF,16,203.2,261,Sophomore,21.2,15.3,10.6,5.7,0.536,26.5,3.1,5.7
76,Tyler Zeller,C,17,214.6,247,Senior,22.4,20.9,12.3,1.2,0.616,24.5,6.5,5.1
77,Terrence Jones,PF,18,207.0,252,Sophomore,20.4,15.1,8.8,1.6,0.547,22.4,4.7,5.7
78,Andrew Nicholson,PF,19,207.0,234,Senior,22.5,22.1,10.1,1.2,0.638,29.5,5.7,3.0
79,Evan Fournier,SG,20,200.7,205,International,19.6,19.5,4.4,3.1,0.524,,,
80,Jared Sullinger,PF,21,205.7,268,Sophomore,20.3,20.7,10.9,1.5,0.591,27.9,6.3,5.3
81,Fab Melo,C,22,213.4,255,Sophomore,22.0,11.0,8.3,1.0,0.581,16.5,2.1,8.3
82,John Jenkins,SG,23,193.7,212,Junior,21.3,21.3,3.1,1.3,0.656,26.2,10.3,-0.6
83,Jared Cunningham,SG,24,195.6,188,Junior,21.1,18.7,4.0,2.9,0.568,26.0,4.3,0.5
84,Tony Wroten,SG,25,198.1,203,Freshman,19.2,18.9,6.0,4.4,0.488,31.2,2.4,2.8
85,Miles Plumlee,C,26,212.7,252,Senior,23.8,11.7,12.5,0.9,0.621,16.1,3.8,3.7
86,Arnett Moultrie,PF,27,210.2,233,Junior,21.6,16.5,10.5,1.2,0.61,23.3,4.0,0.9
87,Perry Jones,PF,28,211.5,234,Sophomore,20.7,15.8,9.0,1.5,0.539,23.3,3.0,2.0
88,Marquis Teague,PG,29,188.0,180,Freshman,19.3,11.1,2.8,5.3,0.491,20.2,1.9,1.1
89,Festus Ezeli,C,30,212.1,264,Senior,22.7,15.6,9.2,0.5,0.567,25.2,-0.7,4.3
90,Jeffery Taylor,SF,31,201.3,213,Senior,23.1,18.1,6.2,1.9,0.58,26.4,6.4,2.2
91,Tomas Satoransky,PG,32,200.7,201,International,20.6,10.0,4.6,2.9,0.507,,,
92,Bernard James,C,33,208.3,230,Senior,27.4,13.9,10.4,0.6,0.602,20.0,1.8,6.7
93,Jae Crowder,SF,34,199.4,241,Senior,21.9,19.2,9.2,2.3,0.598,23.4,8.8,5.9
94,Draymond Green,PF,35,201.9,236,Senior,22.3,17.6,11.5,4.1,0.542,28.2,5.5,7.2
95,Orlando Johnson,SG,36,196.2,224,Senior,23.3,20.6,6.0,3.1,0.56,30.5,5.4,-0.8
96,Quincy Acy,PF,37,202.6,224,Senior,21.7,14.5,9.0,1.2,0.638,19.0,4.2,5.3
97,Quincy Miller,SF,38,208.3,219,Freshman,19.6,15.7,7.3,2.1,0.541,23.9,2.5,2.4
98,Khris Middleton,SF,39,203.8,216,Junior,20.9,16.5,6.2,2.8,0.486,29.7,2.6,1.9
99,Will Barton,SG,40,198.1,174,Sophomore,21.5,18.4,8.1,3.0,0.587,25.8,6.7,3.6
100,Tyshawn Taylor,PG,41,193.0,177,Senior,22.2,17.9,2.5,5.1,0.569,27.5,5.0,1.0
101,Doron Lamb,SG,42,194.9,199,Sophomore,20.6,15.8,3.1,1.7,0.624,19.7,7.2,-0.2
102,Mike Scott,PF,43,205.1,241,Senior,23.9,20.7,9.5,1.3,0.62,30.9,5.3,2.7
103,Kim English,SG,44,197.5,192,Senior,23.7,15.5,4.5,1.7,0.658,20.0,7.2,1.0
104,Justin Hamilton,C,45,213.4,260,Senior,22.2,15.5,8.7,1.1,0.553,22.6,2.8,3.6
105,Darius Miller,SF,46,201.9,233,Senior,22.2,13.7,3.8,2.8,0.593,19.2,6.6,1.5
106,Kevin Murphy,SG,47,198.8,194,Junior,22.3,21.5,5.5,2.4,0.549,32.3,1.5,-2.7
107,Kostas Papanikolaou,SF,48,203.2,230,International,21.9,12.3,7.1,1.2,0.599,,,
108,Kyle O'Quinn,PF,49,208.3,241,Senior,22.2,18.3,11.9,1.6,0.616,24.9,2.5,4.2
109,Izzet Turkyilmaz,PF,50,210.8,210,International,22.1,11.8,7.4,2.0,0.838,,,
110,Kris Joseph,SF,51,200.7,215,Senior,23.5,15.0,5.3,1.7,0.534,22.5,4.6,2.2
111,Ognjen Kuzmić,C,52,213.4,250,International,22.1,,,,,,,
112,Furkan Aldemir,PF,53,208.3,230,International,20.9,14.1,10.3,1.0,0.622,,,
113,Tornike Shengelia,PF,54,205.7,217,International,20.7,14.5,7.5,1.7,0.518,,,
114,Darius Johnson-Odom,SG,55,190.5,212,Senior,22.7,20.0,3.8,3.0,0.568,27.2,5.7,0.2
115,Tomislav Zubčić,PF,56,208.3,225,International,22.4,9.1,8.0,3.5,0.427,,,
116,Ilkan Karaman,PF,57,205.7,236,International,22.1,,,,,,,
117,Robbie Hummel,SF,58,204.5,218,Senior,23.3,18.3,8.0,2.1,0.54,26.3,6.0,2.1
118,Marcus Denmon,SG,59,191.1,188,Senior,22.3,18.4,5.2,2.2,0.621,23.6,9.0,0.4
119,Robert Sacre,C,60,213.4,260,Senior,23.0,15.9,8.6,1.0,0.595,22.9,1.4,3.5
120,Anthony Bennett,PF,1,200.7,239,Freshman,20.3,21.4,10.8,1.3,0.609,27.5,5.3,3.2
121,Victor Oladipo,SG,2,193.7,213,Junior,21.1,17.3,8.0,2.6,0.671,22.2,9.7,7.3
122,Otto Porter,SF,3,204.5,198,Sophomore,20.0,16.4,7.6,2.8,0.59,24.1,7.2,6.1
123,Cody Zeller,PF,4,214.0,230,Sophomore,20.7,20.1,9.8,1.6,0.624,26.5,6.1,5.2
124,Alex Len,C,5,215.9,225,Sophomore,20.0,16.2,10.7,1.3,0.57,22.8,2.7,5.3
125,Nerlens Noel,C,6,212.7,206,Freshman,19.2,11.8,10.7,1.8,0.583,17.4,2.9,11.7
126,Ben McLemore,SG,7,194.9,189,Freshman,20.4,17.8,5.8,2.2,0.633,23.2,7.3,2.9
127,Kentavious Caldwell-Pope,SG,8,196.8,204,Sophomore,20.3,19.6,7.5,1.9,0.579,29.2,8.9,3.2
128,Trey Burke,PG,9,186.1,187,Sophomore,20.6,19.0,3.2,6.8,0.569,28.3,9.9,2.3
129,CJ McCollum,SG,10,190.5,197,Senior,21.8,27.8,5.8,3.4,0.628,37.2,8.7,-0.7
130,Michael Carter-Williams,PG,11,197.5,184,Sophomore,21.7,12.1,5.1,7.4,0.491,22.2,4.7,5.2
131,Steven Adams,C,12,213.4,255,Freshman,19.9,11.1,9.8,1.0,0.555,17.7,3.0,8.8
132,Kelly Olynyk,PF,13,213.4,234,Junior,22.2,24.3,10.0,2.3,0.675,30.7,8.7,4.7
133,Shabazz Muhammad,SF,14,198.8,222,Freshman,20.6,20.9,6.1,1.0,0.528,29.8,4.6,-1.9
134,Giannis Antetokounmpo,SF,15,205.7,196,International,18.5,,,,,,,
135,Lucas Nogueira,C,16,213.4,220,International,20.9,14.4,9.1,0.7,0.668,,,
136,Dennis Schröder,PG,17,188.0,165,International,19.8,,,,,,,
137,Shane Larkin,PG,18,181.6,171,Sophomore,20.7,14.3,3.8,4.5,0.6,21.3,7.4,3.2
138,Sergey Karasev,SG,19,200.7,205,International,19.6,18.0,3.4,2.6,0.587,,,
139,Tony Snell,SF,20,201.3,198,Junior,21.6,14.4,3.0,3.3,0.562,22.8,4.1,1.7
140,Gorgui Dieng,C,21,210.2,230,Junior,23.4,11.3,10.9,2.3,0.562,17.0,4.0,11.0
141,Mason Plumlee,C,22,214.6,238,Senior,23.3,17.7,10.3,2.0,0.628,24.5,4.9,5.7
142,Solomon Hill,SF,23,200.7,226,Senior,22.3,14.6,5.8,3.0,0.579,21.4,5.9,3.4
143,Tim Hardaway Jr.,SG,24,198.8,199,Junior,20.3,15.0,4.8,2.5,0.538,23.7,3.8,2.0
144,Reggie Bullock,SF,25,200.7,200,Junior,22.3,16.0,7.4,3.3,0.625,18.5,8.9,3.1
145,Andre Roberson,SG,26,200.7,206,Junior,21.5,11.7,12.1,1.5,0.524,19.9,2.1,7.7
146,Rudy Gobert,C,27,218.4,238,International,21.9,13.6,8.5,0.6,0.727,,,
147,Livio Jean-Charles,SF,28,205.7,220,International,19.6,8.5,6.7,1.2,0.593,,,
148,Archie Goodwin,SG,29,196.2,189,Freshman,18.8,16.0,5.2,3.0,0.509,27.2,1.2,1.2
149,Nemanja Nedović,PG,30,190.5,190,International,22.0,15.2,3.9,3.3,0.456,,,
